"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 23 18:21:15 YEKT 2021","Sun May 23 18:21:17 YEKT 2021","2004","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:nameRFR;header ;XCt|37|,M0c0o;footer#~9:fu(Nr%y3C[7 Z]","test_add_group2[None:nameRFR;header ;XCt|37|,M0c0o;footer#~9:fu(Nr%y3C[7 Z]",""
"passed","Sun May 23 18:21:19 YEKT 2021","Sun May 23 18:21:21 YEKT 2021","1979","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:namexPMBvs;header) ++i>AqI;footer]","test_add_group2[None:namexPMBvs;header) ++i>AqI;footer]",""
"passed","Sun May 23 18:21:21 YEKT 2021","Sun May 23 18:21:23 YEKT 2021","2116","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:nameTr] IZev;headerGq| c]{:7T;footer h5CebLTg]","test_add_group2[None:nameTr] IZev;headerGq| c]{:7T;footer h5CebLTg]",""
"passed","Sun May 23 18:21:25 YEKT 2021","Sun May 23 18:21:27 YEKT 2021","1954","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:namec ;header  j2;footeruS]","test_add_group2[None:namec ;header  j2;footeruS]",""
"passed","Sun May 23 18:21:09 YEKT 2021","Sun May 23 18:21:11 YEKT 2021","1938","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:nameZ;headeroLm2yM d;footerFbLi=g%#M]","test_add_group2[None:nameZ;headeroLm2yM d;footerFbLi=g%#M]",""
"passed","Sun May 23 18:20:55 YEKT 2021","Sun May 23 18:21:09 YEKT 2021","14683","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:;;]","test_add_group2[None:;;]",""
"passed","Sun May 23 18:21:11 YEKT 2021","Sun May 23 18:21:13 YEKT 2021","2007","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:name%> +k ;headerXo?6QYu;footerFdx.dOJ#Im.gs9{[Ux9]","test_add_group2[None:name%> +k ;headerXo?6QYu;footerFdx.dOJ#Im.gs9{[Ux9]",""
"passed","Sun May 23 18:21:13 YEKT 2021","Sun May 23 18:21:15 YEKT 2021","1987","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:namec;header6pv.b7s {ENup;footerJ FA!L-4 M.aZ1t]","test_add_group2[None:namec;header6pv.b7s {ENup;footerJ FA!L-4 M.aZ1t]",""
"passed","Sun May 23 18:21:27 YEKT 2021","Sun May 23 18:21:29 YEKT 2021","2035","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:nametc;headerY* nz;odTx;footer 2d7Rq@1]","test_add_group2[None:nametc;headerY* nz;odTx;footer 2d7Rq@1]",""
"passed","Sun May 23 18:21:23 YEKT 2021","Sun May 23 18:21:25 YEKT 2021","1973","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:nameI;headerg5DHEUo fV Gw];footerKf6uVE&s4GQ5JO]","test_add_group2[None:nameI;headerg5DHEUo fV Gw];footerKf6uVE&s4GQ5JO]",""
"passed","Sun May 23 18:21:17 YEKT 2021","Sun May 23 18:21:19 YEKT 2021","1965","","test.test_add_group2","","test.test_add_group2","test_add_group2[None:namemQJ1;header6-;footerU =xDduF9iZ]","test_add_group2[None:namemQJ1;header6-;footerU =xDduF9iZ]",""
